"fromId","score"
"59150004004",0.409541157247884
"59150004005",0.404882648999698
"59150004006",0.404903464256081
"59150004011",0.406174243786535
"59150004012",0.403910342232304
"59150004013",0.399019871701204
"59150004014",0.189308992592833
"59150004017",0.189308992592833
"59150004018",0.186448305650309
"59150004019",0.186519701526381
"59150005003",0.385287325391784
"59150005007",0.393517619377685
"59150005015",0.37588012069526
"59150005016",0.41063662067126
"59150005017",0.407424374437111
"59150006004",0.372117185134434
"59150006005",0.379173038155137
"59150006006",0.328130512972407
"59150006007",0.308977217304739
"59150006010",0.295682977748657
"59150006011",0.408245351274409
"59150007007",0.306225485426132
"59150007008",0.303381326251784
"59150008003",0.284441755968686
"59150008006",0.31792765451359
"59150008007",0.319772012169556
"59150008008",0.297167206996128
"59150008009",0.2958125408617
"59150009001",0.295682977748657
"59150009002",0.29403942876544
"59150009003",0.330808247706364
"59150009008",0.28353883937127
"59150009009",0.315106976884893
"59150009018",0.300540944256513
"59150009019",0.27021143066887
"59150009021",0.253479289695378
"59150009022",0.288478274167081
"59150010001",0.311099886084299
"59150010003",0.328508006452281
"59150010004",0.313889535493189
"59150010005",0.311026960877488
"59150010011",0.272060120564089
"59150010012",0.28360522137324
"59150010013",0.331274849755833
"59150010014",0.302787594979744
"59150012001",0.28398581552536
"59150012005",0.312342501845654
"59150012006",0.301201070443328
"59150012009",0.317045065893408
"59150012010",0.314164362696889
"59150012012",0.310121454795485
"59150013001",0.266708830532625
"59150013002",0.0941903930933044
"59150013003",0.302551029817634
"59150014007",0.235086647438874
"59150014012",0.295956119433462
"59150014013",0.294247052485231
"59150014017",0.186468207207232
"59150014023",0.113811335369501
"59150014024",0.270519883090085
"59150014025",0.251943623842801
"59150015001",0.103332225614258
"59150015002",0.352308517940648
"59150015003",0.120094994439468
"59150016003",0.215770964888755
"59150016004",0.390507320493267
"59150016005",0.363619040273277
"59150017003",0.38643740264335
"59150017005",0.375800737172522
"59150017009",0.366781649427418
"59150018001",0.378011675162523
"59150018005",0.390507320493267
"59150018006",0.38665429525675
"59150018007",0.388479549739384
"59150018008",0.370583293145038
"59150018009",0.390507320493267
"59150018010",0.388479549739384
"59150018011",0.363428760518201
"59150019001",0.107790941785013
"59150019002",0.331839745321167
"59150019003",0.381517586787168
"59150019004",0.375448367799077
"59150019005",0.335512137850297
"59150019006",0.383485640921587
"59150019007",0.103332225614258
"59150020001",0.29736078218715
"59150020002",0.291080682305051
"59150020003",0.29736078218715
"59150021001",0.348175350237574
"59150021005",0.373327387028748
"59150021006",0.363428760518201
"59150022001",0.315883402490833
"59150022002",0.329943068757466
"59150022003",0.333591565387963
"59150023001",0.308294124783192
"59150023005",0.374799082630904
"59150023010",0.352697717142687
"59150023011",0.332176998749561
"59150024001",0.355721115691731
"59150024002",0.357363270186847
"59150024005",0.352379408444667
"59150024006",0.357275148910896
"59150024012",0.354795088756594
"59150024015",0.341472844662144
"59150024016",0.351178620231362
"59150024017",0.355144887674351
"59150025001",0.333837200287523
"59150025004",0.345649960733308
"59150025007",0.346705878695985
"59150025008",0.338777227212468
"59150025009",0.332441044948901
"59150025010",0.345433001463014
"59150027004",0.477211825864245
"59150027005",0.467357096191236
"59150028001",0.440833898442934
"59150028012",0.482566789960576
"59150028013",0.48281996343534
"59150028014",0.462640850400041
"59150028015",0.436895388489766
"59150028017",0.477248033364841
"59150028018",0.472234579041192
"59150028019",0.493003309141292
"59150029001",0.429374723992109
"59150029002",0.438549202140983
"59150029003",0.447951920956156
"59150029005",0.456336434318141
"59150029006",0.44789064044127
"59150029007",0.46975286189389
"59150029008",0.477487961766745
"59150029010",0.473555002879687
"59150030001",0.371432287529596
"59150030004",0.413112040279428
"59150030005",0.438363648407179
"59150030006",0.412937154454101
"59150030007",0.371840104708606
"59150030008",0.432844661124216
"59150030009",0.432844661124216
"59150030010",0.443776315056023
"59150030011",0.44789064044127
"59150030012",0.431696323887864
"59150030013",0.403557338100486
"59150031003",0.42892120161834
"59150031004",0.358760813433398
"59150031005",0.36699280288489
"59150031009",0.246693598007213
"59150031010",0.222280712740466
"59150032001",0.382130792517221
"59150032004",0.390535835990009
"59150032009",0.414073400234918
"59150032010",0.378506951042759
"59150032011",0.382064200758113
"59150033002",0.221546468494737
"59150033003",0.365896945430355
"59150033004",0.369070285718082
"59150033007",0.223487388156604
"59150033008",0.212003570752913
"59150033009",0.345619941359782
"59150033010",0.171280111278416
"59150033011",0.120094994439468
"59150034001",0.212079999801245
"59150034002",0.388479549739384
"59150034003",0.383875826903534
"59150035005",0.251067079863209
"59150035008",0.268921183854063
"59150035011",0.272509920388339
"59150035012",0.255704269042199
"59150035013",0.254449922797275
"59150035014",0.250095666890181
"59150035015",0.0482996746786229
